,start_hour,origin_nta,destination_nta,travel_counts,duration_minutes,arrival_rate
117,4,Others,MN11,31,31.258064516129032,0.032
118,4,Others,MN12,46,38.630434782608695,0.026
119,4,Others,MN13,189,41.12698412698413,0.024
120,4,Others,MN14,56,39.392857142857146,0.025
121,4,Others,MN15,45,43.82222222222222,0.023
122,4,Others,MN17,552,42.92210144927536,0.023
123,4,Others,MN19,171,43.90643274853801,0.023
124,4,Others,MN20,160,40.3375,0.025
125,4,Others,MN21,78,40.8974358974359,0.024
126,4,Others,MN22,19,42.473684210526315,0.024
127,4,Others,MN23,135,44.096296296296295,0.023
128,4,Others,MN24,229,47.16593886462882,0.021
129,4,Others,MN25,275,43.472727272727276,0.023
130,4,Others,MN27,58,33.13793103448276,0.03
131,4,Others,MN28,71,38.87323943661972,0.026
132,4,Others,MN31,101,41.37623762376238,0.024
133,4,Others,MN32,38,32.10526315789474,0.031
134,4,Others,MN33,82,39.68292682926829,0.025
135,4,Others,MN34,82,30.926829268292682,0.032
136,4,Others,MN35,88,26.03409090909091,0.038
137,4,Others,MN36,98,31.122448979591837,0.032
138,4,Others,MN40,151,36.0728476821192,0.028
139,4,Others,MN50,9,38.666666666666664,0.026
140,4,Others,MN99,37,30.35135135135135,0.033
141,4,Others,Others,327,42.50152905198777,0.024
142,5,MN01,MN17,5,23.0,0.043
143,5,MN01,MN35,7,6.142857142857143,0.163
144,5,MN01,Others,74,23.16216216216216,0.043
145,5,MN03,MN06,5,7.2,0.139
146,5,MN03,MN17,6,21.0,0.048
147,5,MN03,Others,52,24.0,0.042
148,5,MN04,Others,19,33.1578947368421,0.03
149,5,MN06,Others,10,30.0,0.033
150,5,MN09,Others,19,31.210526315789473,0.032
151,5,MN11,Others,36,33.22222222222222,0.03
152,5,MN12,MN09,7,9.285714285714286,0.108
153,5,MN12,MN12,9,7.888888888888889,0.127
154,5,MN12,MN17,8,10.75,0.093
155,5,MN12,MN33,5,7.0,0.143
156,5,MN12,MN40,7,6.857142857142857,0.146
157,5,MN12,Others,44,38.40909090909091,0.026
158,5,MN13,MN13,18,10.055555555555555,0.099
159,5,MN13,MN17,20,9.2,0.109
160,5,MN13,MN23,8,12.5,0.08
161,5,MN13,Others,34,29.235294117647058,0.034
162,5,MN14,MN17,6,8.333333333333334,0.12
163,5,MN14,Others,21,35.23809523809524,0.028
164,5,MN15,MN17,7,8.714285714285714,0.115
165,5,MN15,Others,17,44.588235294117645,0.022
166,5,MN17,MN13,5,8.8,0.114
167,5,MN17,Others,60,32.43333333333333,0.031
168,5,MN19,MN17,5,9.6,0.104
169,5,MN19,Others,35,37.08571428571429,0.027
170,5,MN20,Others,15,30.133333333333333,0.033
171,5,MN21,Others,6,26.166666666666668,0.038
172,5,MN23,MN17,7,11.714285714285714,0.085
173,5,MN23,MN23,8,7.0,0.143
174,5,MN23,MN24,7,11.714285714285714,0.085
175,5,MN23,Others,33,36.333333333333336,0.028
176,5,MN24,MN17,9,11.88888888888889,0.084
177,5,MN24,MN23,5,7.6,0.132
178,5,MN24,MN24,9,9.0,0.111
179,5,MN24,MN25,5,6.2,0.161
180,5,MN24,Others,40,37.075,0.027
181,5,MN25,Others,33,32.57575757575758,0.031
182,5,MN27,Others,16,33.875,0.03
183,5,MN28,MN28,6,8.166666666666666,0.122
184,5,MN28,Others,25,39.04,0.026
185,5,MN31,MN17,6,9.0,0.111
186,5,MN31,MN31,5,7.4,0.135
187,5,MN31,Others,33,31.272727272727273,0.032
188,5,MN32,MN19,6,9.833333333333334,0.102
189,5,MN32,Others,35,27.228571428571428,0.037
190,5,MN33,MN14,8,14.5,0.069
